studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Bloomfield School District,900305910,2016-2017,English Language Learner,Student Enrollment,Number,32
Bloomfield School District,900305910,2017-2018,Non-English Language Learner,Student Enrollment,Number,2100
Bloomfield School District,900305910,2017-2018,English Language Learner,Student Enrollment,Number,49
Bloomfield School District,900305910,2018-2019,Non-English Language Learner,Student Enrollment,Number,2122
Bloomfield School District,900305910,2018-2019,English Language Learner,Student Enrollment,Number,62
Bloomfield School District,900305910,2019-2020,Non-English Language Learner,Student Enrollment,Number,2135
Bloomfield School District,900305910,2019-2020,English Language Learner,Student Enrollment,Number,71
Bloomfield School District,900305910,2020-2021,Non-English Language Learner,Student Enrollment,Number,2006
Bloomfield School District,900305910,2020-2021,English Language Learner,Student Enrollment,Number,74
Bolton School District,901306260,2007-2008,Non-English Language Learner,Student Enrollment,Number,876
Bolton School District,901306260,2007-2008,English Language Learner,Student Enrollment,Number,0
Bolton School District,901306260,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2012-2013,Non-English Language Learner,Student Enrollment,Number,889
Bolton School District,901306260,2012-2013,English Language Learner,Student Enrollment,Number,8
Bolton School District,901306260,2013-2014,Non-English Language Learner,Student Enrollment,Number,862
Bolton School District,901306260,2013-2014,English Language Learner,Student Enrollment,Number,7
Bolton School District,901306260,2014-2015,Non-English Language Learner,Student Enrollment,Number,840
Bolton School District,901306260,2014-2015,English Language Learner,Student Enrollment,Number,7
Bolton School District,901306260,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2016-2017,Non-English Language Learner,Student Enrollment,Number,812
Bolton School District,901306260,2016-2017,English Language Learner,Student Enrollment,Number,8
Bolton School District,901306260,2017-2018,Non-English Language Learner,Student Enrollment,Number,806
Bolton School District,901306260,2017-2018,English Language Learner,Student Enrollment,Number,6
Bolton School District,901306260,2018-2019,Non-English Language Learner,Student Enrollment,Number,779
Bolton School District,901306260,2018-2019,English Language Learner,Student Enrollment,Number,7
Bolton School District,901306260,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Bolton School District,901306260,2020-2021,Non-English Language Learner,Student Enrollment,Number,746
Bolton School District,901306260,2020-2021,English Language Learner,Student Enrollment,Number,7
Booker T Washington Academy District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2007-2008,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2008-2009,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2009-2010,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2010-2011,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2011-2012,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2012-2013,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2013-2014,English Language Learner,Student Enrollment,Number,-6666
Booker T Washington Academy District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,91
Booker T Washington Academy District,,2014-2015,English Language Learner,Student Enrollment,Number,0
Booker T Washington Academy District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,180
Booker T Washington Academy District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Booker T Washington Academy District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,241
Booker T Washington Academy District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Booker T Washington Academy District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,280
Booker T Washington Academy District,,2017-2018,English Language Learner,Student Enrollment,Number,20
Booker T Washington Academy District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,333
Booker T Washington Academy District,,2018-2019,English Language Learner,Student Enrollment,Number,27
Booker T Washington Academy District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,394
Booker T Washington Academy District,,2019-2020,English Language Learner,Student Enrollment,Number,26
Booker T Washington Academy District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,458
Booker T Washington Academy District,,2020-2021,English Language Learner,Student Enrollment,Number,22
Bozrah School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,258
Bozrah School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Bozrah School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,236
Bozrah School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Bozrah School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,236
Bozrah School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Bozrah School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Bozrah School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,174
Bozrah School District,,2020-2021,English Language Learner,Student Enrollment,Number,6
